project,status,exclusion_reason

Angel-ML@angel,included,
CompEvol@beast2,included,
EMResearch@EvoMaster,included,
JMRI@JMRI,included,
SonarSource@sonarqube,included,
apache@airavata,included,
apache@curator,included,
apache@logging-log4j2,included,
apache@rocketmq,included,
apache@shardingsphere,included,
apache@sling,included,
b2ihealthcare@snow-owl,included,
camunda@camunda-bpm-platform,included,
cantaloupe-project@cantaloupe,included,
eclipse@jetty.project,included,
eclipse@paho.mqtt.java,included,
eclipse@steady,included,
facebook@buck,included,
jcabi@jcabi-github,included,
optimatika@ojAlgo,included,
spring-cloud@spring-cloud-dataflow,included,
thinkaurelius@titan,included,
yamcs@Yamcs,included,
zolyfarkas@spf4j,included,

Graylog2@graylog2-server,excluded,No recorded test failures in the chronological evaluation partition
