Technique,NoisePercent,MeanGlobalSeedAPFDc,CI95LowGlobalSeedAPFDc,CI95HighGlobalSeedAPFDc,MeanDeltaAPFDc,MedianDeltaAPFDc,MeanDegradationPctAPFDc,MeanRetentionPctAPFDc,APFDcDegradedProjects,APFDcTiedProjects,APFDcImprovedProjects,WilcoxonStatistic,RawPValue,BonferroniAdjustedPValue,SignificantBonferroni,PairedRankBiserial,NonZeroPairs,ZeroPairs
RandomForest,5,0.67428121900879223,0.66914165044924934,0.67942078756833513,-0.128957385915241,-0.097011565683751105,15.710129410718976,84.289870589281023,22,0,2,9,3.9339065551757812e-06,3.147125244140625e-05,True,-0.93999999999999995,24,0
RandomForest,10,0.6252622231702929,0.61837859978623844,0.63214584655434725,-0.1779763817537402,-0.1532185224196668,21.03474807904113,78.965251920958863,23,0,1,5,1.1920928955078125e-06,9.5367431640625e-06,True,-0.96666666666666667,24,0
RandomForest,15,0.5911901936404127,0.58336790256289994,0.59901248471792545,-0.21204841128362059,-0.1852028012766769,24.848051205503506,75.151948794496491,23,0,1,5,1.1920928955078125e-06,9.5367431640625e-06,True,-0.96666666666666667,24,0
RandomForest,20,0.56749858171436418,0.55776293667279175,0.57723422675593672,-0.23574002320966911,-0.20324774147132771,27.64592530772412,72.354074692275873,23,0,1,3,5.9604644775390625e-07,4.76837158203125e-06,True,-0.97999999999999998,24,0
RandomForest,25,0.54388757387421083,0.53343554190171694,0.55433960584670472,-0.2593510310498226,-0.21625485937280081,30.421122581359366,69.57887741864063,23,0,1,1,2.384185791015625e-07,1.9073486328125e-06,True,-0.99333333333333329,24,0
RandomForest,30,0.52142458625763954,0.51187865073937111,0.53097052177590787,-0.28181401866639372,-0.25445446476987671,33.051304894510011,66.948695105489989,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
RandomForest,40,0.47938883335048588,0.4675192464516027,0.49125842024936922,-0.32384977157354727,-0.35881083627964971,38.036765977299247,61.96323402270076,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
RandomForest,50,0.4430234744876021,0.43240598219710269,0.4536409667781014,-0.36021513043643127,-0.36382915525297238,42.255380236632163,57.744619763367837,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
XGBoost,5,0.68453858075862717,0.67564424641204635,0.6934329151052081,-0.099678141732705797,-0.079327092101747002,12.366410626939796,87.63358937306019,22,0,2,16,2.0146369934082031e-05,0.00016117095947265625,True,-0.89333333333333331,24,0
XGBoost,10,0.6412046636318911,0.63148523819782376,0.65092408906595833,-0.1430120588594419,-0.1119221377878292,17.583378019310867,82.416621980689129,22,0,2,7,2.2649765014648438e-06,1.811981201171875e-05,True,-0.95333333333333337,24,0
