Technique,NoisePercent,MeanGlobalSeedAPFD,MeanDeltaAPFD,APFDDegradedProjects,APFDTiedProjects,APFDImprovedProjects,WilcoxonStatistic,RawPValue,BonferroniAdjustedPValue,SignificantBonferroni,PairedRankBiserial,NonZeroPairs,ZeroPairs
RandomForest,5,0.74652351566056185,-0.15744015558284741,23,0,1,2,3.5762786865234375e-07,2.86102294921875e-06,True,-0.98666666666666669,24,0
RandomForest,10,0.67071915691501904,-0.23324451432839041,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
RandomForest,15,0.63420645653618135,-0.26975721470722791,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
RandomForest,20,0.60361933945736035,-0.30034433178604902,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
RandomForest,25,0.57837815697160155,-0.32558551427180771,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
RandomForest,30,0.54933699387589152,-0.35462667736751791,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
RandomForest,40,0.49197708479583502,-0.41198658644757441,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
RandomForest,50,0.43285212212278018,-0.47111154912062903,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
XGBoost,5,0.76209474272647715,-0.15505669037755249,23,0,1,1,2.384185791015625e-07,1.9073486328125e-06,True,-0.99333333333333329,24,0
XGBoost,10,0.71378721486699848,-0.2033642182370311,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
XGBoost,15,0.6739931659357461,-0.2431582671682837,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
XGBoost,20,0.63588842832461356,-0.28126300477941601,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
XGBoost,25,0.6080003514737311,-0.30915108163029847,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
XGBoost,30,0.58390861988987852,-0.33324281321415128,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
XGBoost,40,0.52973011461096675,-0.38742131849306288,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
XGBoost,50,0.4555256495222742,-0.46162578358175538,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
LightGBM,5,0.75395967095400351,-0.1165261653436909,22,0,2,24,9.0837478637695312e-05,0.0007266998291015625,True,-0.83999999999999997,24,0
LightGBM,10,0.71403304468222994,-0.15645279161546449,23,0,1,17,2.4676322937011719e-05,0.00019741058349609375,True,-0.88666666666666671,24,0
LightGBM,15,0.68907706784676848,-0.18140876845092579,23,0,1,16,2.0146369934082031e-05,0.00016117095947265625,True,-0.89333333333333331,24,0
LightGBM,20,0.65398422273938983,-0.2165016135583045,23,0,1,16,2.0146369934082031e-05,0.00016117095947265625,True,-0.89333333333333331,24,0
LightGBM,25,0.63035299976462345,-0.24013283653307091,23,0,1,8,2.9802322387695312e-06,2.384185791015625e-05,True,-0.94666666666666666,24,0
LightGBM,30,0.59894417997500005,-0.27154165632269428,23,0,1,4,8.3446502685546875e-07,6.67572021484375e-06,True,-0.97333333333333338,24,0
LightGBM,40,0.54278425678180886,-0.3277015795158853,23,0,1,1,2.384185791015625e-07,1.9073486328125e-06,True,-0.99333333333333329,24,0
LightGBM,50,0.4566210255253117,-0.4138648107723828,23,0,1,1,2.384185791015625e-07,1.9073486328125e-06,True,-0.99333333333333329,24,0
NaiveBayes,5,0.8043322015096861,0.018041720529880401,9,0,15,107,0.22918963432312012,1,False,0.28666666666666668,24,0
NaiveBayes,10,0.77169975598604401,-0.0145907249937615,13,0,11,121,0.42234146595001221,1,False,-0.19333333333333333,24,0
NaiveBayes,15,0.73241703070576736,-0.0538734502740379,16,0,8,80,0.045679688453674316,0.36543750762939453,False,-0.46666666666666667,24,0
NaiveBayes,20,0.71593554764442768,-0.070354933335377706,16,0,8,61,0.0095757246017456055,0.076605796813964844,False,-0.59333333333333338,24,0
NaiveBayes,25,0.69391744985432458,-0.092373031125480801,17,0,7,49,0.0028146505355834961,0.022517204284667969,True,-0.67333333333333334,24,0
NaiveBayes,30,0.6688104524175229,-0.1174800285622826,19,0,5,39,0.00084626674652099609,0.0067701339721679688,True,-0.73999999999999999,24,0
NaiveBayes,40,0.60616719749141867,-0.18012328348838669,22,0,2,22,6.389617919921875e-05,0.00051116943359375,True,-0.85333333333333339,24,0
NaiveBayes,50,0.48939069935426621,-0.29689978162553943,23,0,1,3,5.9604644775390625e-07,4.76837158203125e-06,True,-0.97999999999999998,24,0
