Technique,NoisePercent,MeanGlobalSeedAPFDc,CI95LowGlobalSeedAPFDc,CI95HighGlobalSeedAPFDc,MeanDeltaAPFDc,MeanDegradationPctAPFDc,MeanRetentionPctAPFDc,APFDcDegradedProjects,APFDcTiedProjects,APFDcImprovedProjects,MeanGlobalSeedAPFD,MeanDeltaAPFD
RandomForest,0,0.80323860492403343,0.80100282269899825,0.80547438714906838,0,0,100,0,24,0,0.90396367124340915,0
RandomForest,5,0.67428121900879223,0.66914165044924934,0.67942078756833513,-0.128957385915241,15.710129410718976,84.289870589281023,22,0,2,0.74652351566056185,-0.15744015558284741
RandomForest,15,0.5911901936404127,0.58336790256289994,0.59901248471792545,-0.21204841128362059,24.848051205503506,75.151948794496491,23,0,1,0.63420645653618135,-0.26975721470722791
RandomForest,30,0.52142458625763954,0.51187865073937111,0.53097052177590787,-0.28181401866639372,33.051304894510011,66.948695105489989,24,0,0,0.54933699387589152,-0.35462667736751791
RandomForest,50,0.4430234744876021,0.43240598219710269,0.4536409667781014,-0.36021513043643127,42.255380236632163,57.744619763367837,24,0,0,0.43285212212278018,-0.47111154912062903
XGBoost,0,0.78421672249133312,0.78421672249133312,0.78421672249133312,0,0,100,0,24,0,0.91715143310403002,0
XGBoost,5,0.68453858075862717,0.67564424641204635,0.6934329151052081,-0.099678141732705797,12.366410626939796,87.63358937306019,22,0,2,0.76209474272647715,-0.15505669037755249
XGBoost,15,0.60906713012400115,0.59967427134466966,0.61845998890333265,-0.17514959236733171,21.358263654220082,78.641736345779904,22,0,2,0.6739931659357461,-0.2431582671682837
XGBoost,30,0.52812867735314095,0.51698149897199897,0.53927585573428283,-0.25608804513819211,31.075529890821105,68.924470109178898,24,0,0,0.58390861988987852,-0.33324281321415128
XGBoost,50,0.42675195619370981,0.41469165496784338,0.43881225741957608,-0.35746476629762308,43.01281525154959,56.987184748450403,24,0,0,0.4555256495222742,-0.46162578358175538
LightGBM,0,0.76205984422883655,0.76101695836500638,0.7631027300926666,0,0,100,0,24,0,0.87048583629769438,0
LightGBM,5,0.68016006843081678,0.6709579306678698,0.68936220619376387,-0.0818997757980197,9.5593319709498008,90.440668029050201,18,0,6,0.75395967095400351,-0.1165261653436909
LightGBM,15,0.6277217301690291,0.61793964677285074,0.63750381356520736,-0.13433811405980739,16.256328722782985,83.74367127721699,20,0,4,0.68907706784676848,-0.18140876845092579
LightGBM,30,0.547930014181926,0.53734349576807661,0.55851653259577527,-0.21412983004691061,25.732400196707601,74.267599803292399,22,0,2,0.59894417997500005,-0.27154165632269428
LightGBM,50,0.4324762206383535,0.42301705156970548,0.44193538970700152,-0.3295836235904831,39.608001036390803,60.391998963609197,24,0,0,0.4566210255253117,-0.4138648107723828
NaiveBayes,0,0.61760336857343245,0.61760336857343245,0.61760336857343257,0,0,100,0,24,0,0.78629048097980525,0
NaiveBayes,5,0.57338104933765421,0.56854121584117012,0.57822088283413831,-0.044222319235778101,3.9274765710728334,96.072523428927155,14,0,10,0.8043322015096861,0.018041720529880401
NaiveBayes,15,0.54401519515392316,0.53272921575677301,0.55530117455107353,-0.073588173419509198,7.323692691911809,92.676307308088198,17,0,7,0.73241703070576736,-0.0538734502740379
NaiveBayes,30,0.53771791302919747,0.52146671530447208,0.55396911075392286,-0.079885455544234693,7.3696328048796369,92.630367195120357,17,0,7,0.6688104524175229,-0.1174800285622826
NaiveBayes,50,0.4920519147301996,0.48086687736671052,0.50323695209368868,-0.12555145384323271,12.761964415181424,87.238035584818576,17,0,7,0.48939069935426621,-0.29689978162553943
