ProjectSlug,NoisePercent,Seeds,ProjectMeanAPFDc,ProjectMeanAPFD
Angel-ML__angel,0,30,0.8728478624916338,0.8612055718446695
Angel-ML__angel,5,30,0.8369698052875738,0.8225932656609348
Angel-ML__angel,10,30,0.8338414676231951,0.8192774600594149
Angel-ML__angel,15,30,0.8304058865987691,0.8156561448666712
Angel-ML__angel,20,30,0.828761864091556,0.8132162355696191
Angel-ML__angel,25,30,0.8263070089382377,0.8105563716240407
Angel-ML__angel,30,30,0.8257737557515952,0.8099940133473968
Angel-ML__angel,40,30,0.8245510640925616,0.8088897049573741
Angel-ML__angel,50,30,0.8256791084931752,0.8108942401047664
CompEvol__beast2,0,30,0.7393776254714395,0.9631320647341324
CompEvol__beast2,5,30,0.7343829777395976,0.9354658617376325
CompEvol__beast2,10,30,0.7342974859090984,0.936657004924381
CompEvol__beast2,15,30,0.7342553462908935,0.9363465505967803
CompEvol__beast2,20,30,0.7336801678098648,0.936500692214801
CompEvol__beast2,25,30,0.7323402694076571,0.9366581238144763
CompEvol__beast2,30,30,0.729881393955767,0.9346313248476805
CompEvol__beast2,40,30,0.7278081242414438,0.9342320768062591
CompEvol__beast2,50,30,0.726599263186309,0.9347110045401489
EMResearch__EvoMaster,0,30,0.7167929404157944,0.902767016642284
EMResearch__EvoMaster,5,30,0.7018407520644161,0.866890133509166
EMResearch__EvoMaster,10,30,0.7079638407530174,0.870838182506889
EMResearch__EvoMaster,15,30,0.713463254385464,0.8773562153111357
EMResearch__EvoMaster,20,30,0.7131579188222794,0.8776641102158068
EMResearch__EvoMaster,25,30,0.7121375598060429,0.879876361126119
EMResearch__EvoMaster,30,30,0.7150562207500474,0.8851163915820531
EMResearch__EvoMaster,40,30,0.7178233198365512,0.8902084524569456
EMResearch__EvoMaster,50,30,0.7196388356173714,0.8938050643667416
JMRI__JMRI,0,30,0.7458789557550832,0.776635744316183
JMRI__JMRI,5,30,0.761193466832575,0.7814457778803546
JMRI__JMRI,10,30,0.7925244013472162,0.8073648856474661
JMRI__JMRI,15,30,0.8012553852985317,0.8186923918136877
JMRI__JMRI,20,30,0.8210351211036768,0.8402274469134915
JMRI__JMRI,25,30,0.8351568146421332,0.8547761217979636
JMRI__JMRI,30,30,0.8429188062838592,0.8615097521211879
JMRI__JMRI,40,30,0.8538440632468167,0.873990293269091
JMRI__JMRI,50,30,0.8611163311013198,0.8815604848153279
SonarSource__sonarqube,0,30,0.5225288603476227,0.5962303586532021
SonarSource__sonarqube,5,30,0.5574200245893529,0.583065371785884
SonarSource__sonarqube,10,30,0.562320359671157,0.5949283974531279
SonarSource__sonarqube,15,30,0.5671123076865553,0.6062416072108322
SonarSource__sonarqube,20,30,0.5667642608433205,0.6037248995127977
SonarSource__sonarqube,25,30,0.569372619392227,0.6104434984523446
SonarSource__sonarqube,30,30,0.5753241784827744,0.618680311250791
SonarSource__sonarqube,40,30,0.5756326540710954,0.622210448466846
SonarSource__sonarqube,50,30,0.5741992386544957,0.626102696460304
apache__airavata,0,30,0.844635135614775,0.7890756302521008
apache__airavata,5,30,0.836756563572444,0.783162153750389
apache__airavata,10,30,0.8295243280900247,0.7785496420790537
apache__airavata,15,30,0.8249634080776457,0.7737441643323996
apache__airavata,20,30,0.8166333835562108,0.7677248677248677
apache__airavata,25,30,0.8089389263625365,0.7609959539371304
apache__airavata,30,30,0.7995325414882828,0.7531092436974789
apache__airavata,40,30,0.7731034835431073,0.7343790849673203
apache__airavata,50,30,0.7557745914327302,0.7191285403050108
apache__curator,0,30,0.6726306863073092,0.8573883161512028
apache__curator,5,30,0.530799862977989,0.5530546009927453
apache__curator,10,30,0.5045756736967221,0.5328942344406262
apache__curator,15,30,0.5192864554692904,0.535700649102711
apache__curator,20,30,0.5318505532056196,0.5578655975563191
apache__curator,25,30,0.5141787461822276,0.5670103092783505
apache__curator,30,30,0.5209436248147357,0.5844978999618174
apache__curator,40,30,0.5311484137755809,0.6487781596029019
apache__curator,50,30,0.5285689272448317,0.6546009927453227
apache__logging-log4j2,0,30,0.9140579902386404,0.9155418401795618
apache__logging-log4j2,5,30,0.9123607229085097,0.9151527940760285
apache__logging-log4j2,10,30,0.9092608832324668,0.9119554299391689
apache__logging-log4j2,15,30,0.9106810142563132,0.9128859159873389
apache__logging-log4j2,20,30,0.9077799881602078,0.9090408492787796
apache__logging-log4j2,25,30,0.9068083320095132,0.9083902046173542
apache__logging-log4j2,30,30,0.9043520961409206,0.9059910995573328
apache__logging-log4j2,40,30,0.9014119811340778,0.9026936317122968
apache__logging-log4j2,50,30,0.8995868781006089,0.9008280652383426
