ProjectSlug,NoisePercent,Seeds,ProjectMeanAPFDc,ProjectMeanAPFD
Angel-ML__angel,0,30,0.8728478624916338,0.8612055718446695
Angel-ML__angel,5,30,0.8369698052875738,0.8225932656609348
Angel-ML__angel,10,30,0.8338414676231951,0.8192774600594149
Angel-ML__angel,15,30,0.8304058865987691,0.8156561448666712
Angel-ML__angel,20,30,0.828761864091556,0.8132162355696191
Angel-ML__angel,25,30,0.8263070089382377,0.8105563716240407
Angel-ML__angel,30,30,0.8257737557515952,0.8099940133473968
Angel-ML__angel,40,30,0.8245510640925616,0.8088897049573741
Angel-ML__angel,50,30,0.8256791084931752,0.8108942401047664
CompEvol__beast2,0,30,0.7393776254714395,0.9631320647341324
CompEvol__beast2,5,30,0.7343829777395976,0.9354658617376325
CompEvol__beast2,10,30,0.7342974859090984,0.936657004924381
CompEvol__beast2,15,30,0.7342553462908935,0.9363465505967803
CompEvol__beast2,20,30,0.7336801678098648,0.936500692214801
CompEvol__beast2,25,30,0.7323402694076571,0.9366581238144763
CompEvol__beast2,30,30,0.729881393955767,0.9346313248476805
CompEvol__beast2,40,30,0.7278081242414438,0.9342320768062591
CompEvol__beast2,50,30,0.726599263186309,0.9347110045401489
EMResearch__EvoMaster,0,30,0.6890909845096295,0.48039722248854183
EMResearch__EvoMaster,5,30,0.7237820597633429,0.8890116446209628
EMResearch__EvoMaster,10,30,0.7236101589600381,0.8872304507047394
EMResearch__EvoMaster,15,30,0.7211665671373165,0.8861891081381476
EMResearch__EvoMaster,20,30,0.7174481154180729,0.8836622096230665
EMResearch__EvoMaster,25,30,0.7157081104047612,0.8853174574868975
EMResearch__EvoMaster,30,30,0.715952714984885,0.8880063023814694
EMResearch__EvoMaster,40,30,0.7152760132948778,0.8899459751100977
EMResearch__EvoMaster,50,30,0.7143939214190201,0.8910430658253632
JMRI__JMRI,0,30,0.3169575419957866,0.1069064624312755
JMRI__JMRI,5,30,0.7550505822599798,0.7804792696283176
JMRI__JMRI,10,30,0.7863844743847225,0.8065280504743223
JMRI__JMRI,15,30,0.7951167412367552,0.817898781000175
JMRI__JMRI,20,30,0.8148968380027767,0.8394585357340536
JMRI__JMRI,25,30,0.8290185315412332,0.8540072106185258
JMRI__JMRI,30,30,0.8367806134231781,0.8607470158502687
JMRI__JMRI,40,30,0.8477059606263547,0.8732337319066905
JMRI__JMRI,50,30,0.8549782284808578,0.8808039234529275
SonarSource__sonarqube,0,30,0.528928935113717,0.1375404689356431
SonarSource__sonarqube,5,30,0.7875506721353999,0.7902587475980672
SonarSource__sonarqube,10,30,0.7925493302408728,0.8031150540773102
SonarSource__sonarqube,15,30,0.7974302450488209,0.8149087677866375
SonarSource__sonarqube,20,30,0.7971195824276994,0.8126027727033421
SonarSource__sonarqube,25,30,0.7997878221531189,0.8195320842576282
SonarSource__sonarqube,30,30,0.8057494727407831,0.8278154462411291
SonarSource__sonarqube,40,30,0.8060844722206889,0.8315097468868687
SonarSource__sonarqube,50,30,0.8046553662144903,0.8354225153090374
apache__airavata,0,30,0.844635135614775,0.7890756302521008
apache__airavata,5,30,0.836756563572444,0.783162153750389
apache__airavata,10,30,0.8295243280900247,0.7785496420790537
apache__airavata,15,30,0.8249634080776457,0.7737441643323996
apache__airavata,20,30,0.8166333835562108,0.7677248677248677
apache__airavata,25,30,0.8089389263625365,0.7609959539371304
apache__airavata,30,30,0.7995325414882828,0.7531092436974789
apache__airavata,40,30,0.7731034835431073,0.7343790849673203
apache__airavata,50,30,0.7557745914327302,0.7191285403050108
apache__curator,0,30,0.3528574324256965,0.4759450171821306
apache__curator,5,30,0.5291500244081887,0.5503054600992745
apache__curator,10,30,0.5045448165723739,0.5327224131347843
apache__curator,15,30,0.5192864554692904,0.535700649102711
apache__curator,20,30,0.5318505532056196,0.5578655975563191
apache__curator,25,30,0.5141787461822276,0.5670103092783505
apache__curator,30,30,0.5209436248147357,0.5844978999618174
apache__curator,40,30,0.5311484137755809,0.6487781596029019
apache__curator,50,30,0.5285689272448317,0.6546009927453227
apache__logging-log4j2,0,30,0.0488349370249216,0.0327085521765274
apache__logging-log4j2,5,30,0.9371170770499165,0.9423761145631472
apache__logging-log4j2,10,30,0.9374013015098623,0.9425838521984964
apache__logging-log4j2,15,30,0.9405401999974509,0.9445874506449744
apache__logging-log4j2,20,30,0.9380800167050474,0.9410231214673043
apache__logging-log4j2,25,30,0.9375021498318091,0.9406875107663736
apache__logging-log4j2,30,30,0.9354249140917773,0.9384813602777725
apache__logging-log4j2,40,30,0.9328297202578715,0.9353567325467292
apache__logging-log4j2,50,30,0.9310636467849834,0.9335199762139446
