ProjectSlug,NoisePercent,RepetitionSeed,MeanAPFD,MeanAPFDc,SourceType
EMResearch__EvoMaster,0,1,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,2,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,3,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,4,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,5,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,6,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,7,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,8,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,9,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,10,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,11,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,12,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,13,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,14,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,15,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,16,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,17,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,18,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,19,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,20,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,21,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,22,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,23,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,24,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,25,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,26,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,27,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,28,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,29,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,0,30,0.4803972224885418,0.6890909845096295,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,1,0.892679243821926,0.7196634993342916,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,2,0.859104571220626,0.7190217893658647,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,3,0.8821466448055193,0.7274959797058577,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,4,0.8995026799205087,0.7212271850385036,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,5,0.8857579464888301,0.7351130686965,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,6,0.9064240057407013,0.7235763820283787,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,7,0.8996560666868998,0.7219941175982488,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,8,0.9161096568580536,0.7358116090950477,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,9,0.8844833652792278,0.7129397439472926,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,10,0.8981784438897141,0.7212944033428272,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,11,0.8963383026075753,0.7367564176613082,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,12,0.879485941027374,0.701779849042594,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,13,0.8972990315871032,0.7116644161737402,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,14,0.9100318453686708,0.7319092777569822,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,15,0.8913517204314411,0.7387159724203162,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,16,0.9109688756347596,0.7324131457264531,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,17,0.867924687151417,0.72218874785321,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,18,0.8868644392341245,0.701725011345649,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,19,0.900315075669008,0.7357944379464264,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,20,0.8606710100709598,0.705230059457345,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,21,0.8658896732345164,0.7208604780385061,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,22,0.8794276353849025,0.7259789738654404,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,23,0.8901136360868444,0.7221686932006224,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,24,0.887409807410384,0.7176630561102978,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,25,0.8653228835287039,0.7207843270919244,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,26,0.91305177638327,0.7427570647462134,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,27,0.8907282192490694,0.7287115638013713,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,28,0.8787008017252499,0.721353638777998,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,29,0.8940064249299754,0.7363161721001029,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,30,0.8804049272015292,0.7205527116309717,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,1,0.8849221353662834,0.725110765262079,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,2,0.8623830348977034,0.718900238781912,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,3,0.8828308005318781,0.7211182871562347,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,4,0.9047416982837664,0.7339724879391742,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,5,0.8934626789875934,0.744762860783202,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,6,0.8925852225478549,0.7249361878118018,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,7,0.8906131705343979,0.7259819967491403,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,8,0.9180924148508866,0.748179481361697,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,9,0.8871325545838816,0.7074884198222366,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,10,0.8904249292885181,0.7082783969826753,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,11,0.8972661375945609,0.7359704420477409,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,12,0.8811886709017982,0.7221521468235996,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,13,0.8854104250732968,0.7053677746621583,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,14,0.9006147744677496,0.7368964213931805,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,15,0.8966737139228288,0.7325726770499692,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,16,0.8896693403835408,0.7045618849372605,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,17,0.8655154447681771,0.718240083071928,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,18,0.8889656174317002,0.7104236647374346,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,19,0.9090345885188266,0.7440281488388597,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,20,0.8572279886339096,0.702065175815393,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,21,0.880379282141973,0.7229194847801217,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,22,0.8938208500748122,0.7386630514102016,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,23,0.8666933072053951,0.7143266960545479,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,24,0.8875428885296119,0.7150916484579336,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,25,0.8650474359192823,0.7211642251018195,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,26,0.8970010225972034,0.7362572904103855,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,27,0.9004310277495298,0.731494645769252,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,28,0.8794788088437286,0.7129740139405849,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,29,0.8936281476539427,0.7302180866818725,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,30,0.8741354088575507,0.7141880841667438,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,1,0.8855575683178886,0.7333314998502665,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,2,0.8776613884160971,0.7310346203422037,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,3,0.8918857123909062,0.7310215668059031,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,4,0.9015674979772742,0.721411548275285,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,5,0.881156254027815,0.7403497649450821,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,6,0.8991729227618742,0.7259006899189695,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,7,0.8764148788404369,0.7198375258770467,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,8,0.9054686735954522,0.7470096624632265,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,9,0.8793293459206171,0.7017613742782154,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,10,0.8826306153721455,0.7004984586271346,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,11,0.9052389974844574,0.7207207553250505,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,12,0.877324027341598,0.727229323522735,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,13,0.8722423825085838,0.6930212737272361,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,14,0.8958732526461712,0.7433363925857701,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,15,0.8989187381266127,0.723250516866225,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,16,0.8794296169455325,0.6954701800209661,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,17,0.8544113771671197,0.7063630553438539,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,18,0.8900225754940263,0.7114239346253058,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,19,0.9119902043555934,0.7353215758010736,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,20,0.8548785854836263,0.7006675978089889,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,21,0.8823768080145111,0.7247720481706571,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,22,0.8977653897171899,0.7348000195699991,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,23,0.8524785106453556,0.7039491530223843,ORIGINAL_AFFECTED
