ProjectSlug,Status,OriginalCleanAPFDc,CorrectedCleanAPFDc,CleanAPFDcDifference
EMResearch__EvoMaster,CORRECTED,0.6890909845096295,0.7167929404157944,0.027701955906164977
JMRI__JMRI,CORRECTED,0.3169575419957866,0.7458789557550832,0.42892141375929665
SonarSource__sonarqube,CORRECTED,0.528928935113717,0.5225288603476227,-0.006400074766094277
apache__curator,CORRECTED,0.3528574324256965,0.6726306863073092,0.31977325388161265
apache__logging-log4j2,CORRECTED,0.0488349370249216,0.9140579902386404,0.8652230532137188
apache__rocketmq,CORRECTED,0.2995804297170278,0.8949537196084185,0.5953732898913907
apache__shardingsphere,CORRECTED,0.1173619050491595,0.9722092195635664,0.8548473145144069
apache__sling,CORRECTED,0.3644067431206876,0.9097434144105736,0.5453366712898859
cantaloupe-project__cantaloupe,CORRECTED,0.5695029096584818,0.4970352954466159,-0.07246761421186593
eclipse__steady,CORRECTED,0.2948148473035355,0.9644223477433554,0.6696075004398199
facebook__buck,CORRECTED,0.492707717810999,0.4590126665345221,-0.03369505127647687
jcabi__jcabi-github,CORRECTED,0.35448147241721756,0.947808494059419,0.5933270216422015
yamcs__Yamcs,CORRECTED,0.6529001565376455,0.5625194022750566,-0.09038075426258896
zolyfarkas__spf4j,CORRECTED,0.8863451594508348,0.8531514514715006,-0.033193707979334186
Angel-ML__angel,UNCHANGED_LEGACY,0.8728478624916338,0.8728478624916338,0.0
CompEvol__beast2,UNCHANGED_LEGACY,0.7393776254714395,0.7393776254714395,0.0
apache__airavata,UNCHANGED_LEGACY,0.844635135614775,0.844635135614775,0.0
b2ihealthcare__snow-owl,UNCHANGED_LEGACY,0.7161839862196434,0.7161839862196434,0.0
camunda__camunda-bpm-platform,UNCHANGED_LEGACY,0.7527394429899698,0.7527394429899698,0.0
eclipse__jetty.project,UNCHANGED_LEGACY,0.9584700517945758,0.9584700517945758,0.0
eclipse__paho.mqtt.java,UNCHANGED_LEGACY,0.6031164388666922,0.6031164388666922,0.0
optimatika__ojAlgo,UNCHANGED_LEGACY,0.8524008320645321,0.8524008320645321,0.0
spring-cloud__spring-cloud-dataflow,UNCHANGED_LEGACY,0.7549625592174842,0.7549625592174842,0.0
thinkaurelius__titan,UNCHANGED_LEGACY,0.7426481743735092,0.7426481743735092,0.0
