MetricRole,Metric,NoisePercent,Technique,Projects,AverageRank,CrossProjectMean,CrossProjectMedian,CrossProjectSD
PRIMARY,APFDc,0,RandomForest,24,1.7083333333333333,0.80323860492403332,0.81885213142936375,0.12701107593623365
PRIMARY,APFDc,0,XGBoost,24,2.2083333333333335,0.78421672249133312,0.81647477377218969,0.13127551653264899
PRIMARY,APFDc,0,LightGBM,24,2.5416666666666665,0.76205984422883655,0.79911833908243035,0.15383190180525139
PRIMARY,APFDc,0,NaiveBayes,24,3.5416666666666665,0.61760336857343245,0.58211835026302983,0.16657986643652689
PRIMARY,APFDc,5,RandomForest,24,2.2083333333333335,0.67428121900879245,0.66328876572097362,0.14799032613470461
PRIMARY,APFDc,5,XGBoost,24,2.1666666666666665,0.68453858075862728,0.66632524022607775,0.14185482949057499
PRIMARY,APFDc,5,LightGBM,24,2.2083333333333335,0.68016006843081689,0.658701147772635,0.1432656101661153
PRIMARY,APFDc,5,NaiveBayes,24,3.4166666666666665,0.57338104933765421,0.55488068310060545,0.13788993140773928
PRIMARY,APFDc,10,RandomForest,24,2.375,0.62526222317029312,0.59772432134925946,0.14164392364639034
PRIMARY,APFDc,10,XGBoost,24,2.2083333333333335,0.64120466363189121,0.62144843526259452,0.14368992092872288
PRIMARY,APFDc,10,LightGBM,24,2.2916666666666665,0.64704324960537007,0.6439555015269175,0.14827194680346364
PRIMARY,APFDc,10,NaiveBayes,24,3.125,0.55829541806483263,0.54349594988586658,0.1260357174393506
PRIMARY,APFDc,15,RandomForest,24,2.5416666666666665,0.5911901936404127,0.57460729253357179,0.13938945298920763
PRIMARY,APFDc,15,XGBoost,24,2.5,0.60906713012400127,0.60083056015786496,0.13143527273983463
PRIMARY,APFDc,15,LightGBM,24,1.9583333333333333,0.6277217301690291,0.62975655788811336,0.14046107512424386
PRIMARY,APFDc,15,NaiveBayes,24,3,0.54401519515392305,0.53257788865039746,0.11239338624375501
PRIMARY,APFDc,20,RandomForest,24,2.7083333333333335,0.56749858171436418,0.56565134198554379,0.12813561626494099
PRIMARY,APFDc,20,XGBoost,24,2.3333333333333335,0.57971070918137935,0.57217709321267485,0.1237983323957797
PRIMARY,APFDc,20,LightGBM,24,2,0.59875186724198803,0.59426854048506628,0.13350103277664926
PRIMARY,APFDc,20,NaiveBayes,24,2.9583333333333335,0.54605958407504807,0.53607629653349242,0.10310655376558622
PRIMARY,APFDc,25,RandomForest,24,2.5833333333333335,0.54388757387421072,0.53208182631426881,0.11188881861490299
PRIMARY,APFDc,25,XGBoost,24,2.5833333333333335,0.54855689259792029,0.53322384005521872,0.11615963765710124
PRIMARY,APFDc,25,LightGBM,24,2.125,0.57268970698511723,0.56614237725475225,0.12317204778429683
PRIMARY,APFDc,25,NaiveBayes,24,2.7083333333333335,0.54146929020346113,0.52426128995295851,0.09945405565156866
PRIMARY,APFDc,30,RandomForest,24,2.875,0.52142458625763954,0.5098539377139808,0.098710356299422999
