Technique,NoisePercent,ProjectsPerSeed,Seeds,MeanGlobalSeedAPFDc,SDGlobalSeedAPFDc,SEGlobalSeedAPFDc,CI95LowGlobalSeedAPFDc,CI95HighGlobalSeedAPFDc,MeanGlobalSeedAPFD,SDGlobalSeedAPFD,SEGlobalSeedAPFD,CI95LowGlobalSeedAPFD,CI95HighGlobalSeedAPFD,Projects,CrossProjectMeanAPFDc,CrossProjectMedianAPFDc,CrossProjectSDAPFDc,CrossProjectQ1APFDc,CrossProjectQ3APFDc,CrossProjectIQRAPFDc,CrossProjectMinAPFDc,CrossProjectMaxAPFDc,CrossProjectMeanAPFD,CrossProjectMedianAPFD,CrossProjectSDAPFD,CrossProjectQ1APFD,CrossProjectQ3APFD,CrossProjectIQRAPFD,CrossProjectMinAPFD,CrossProjectMaxAPFD,Projects_CleanRelative,MeanDeltaAPFDc,MedianDeltaAPFDc,SDDeltaAPFDc,MinDeltaAPFDc,MaxDeltaAPFDc,APFDcDegradedProjects,APFDcTiedProjects,APFDcImprovedProjects,APFDcRetentionDefinedProjects,MeanRetentionPctAPFDc,MedianRetentionPctAPFDc,MeanDegradationPctAPFDc,MedianDegradationPctAPFDc,MeanDeltaAPFD,MedianDeltaAPFD,SDDeltaAPFD,MinDeltaAPFD,MaxDeltaAPFD,APFDDegradedProjects,APFDTiedProjects,APFDImprovedProjects,APFDRetentionDefinedProjects,MeanRetentionPctAPFD,MedianRetentionPctAPFD,MeanDegradationPctAPFD,MedianDegradationPctAPFD
RandomForest,0,24,30,0.80323860492403343,0.0059875347642812876,0.0010931692847477462,0.80100282269899836,0.80547438714906849,0.90396367124340926,0.0058812357611848177,0.0010737618308023303,0.90176758171846161,0.90615976076835691,24,0.80323860492403332,0.81885213142936375,0.12701107593623365,0.70925120939857811,0.91302581026497276,0.20377460086639465,0.57813229924777898,0.98632298378141003,0.90396367124340937,0.91274682633521209,0.066528988503457162,0.86836116287205156,0.9597495798620499,0.091388416989998333,0.78595968802421345,0.99061316901739016,24,0,0,0,0,0,0,24,0,24,100,100,0,0,0,0,0,0,0,0,24,0,24,100,100,0,0
RandomForest,5,24,30,0.67428121900879223,0.013764017389120826,0.0025129542686382791,0.66914165044924934,0.67942078756833513,0.74652351566056185,0.016314467998880231,0.0029786007122276233,0.74043159319183638,0.75261543812928733,24,0.67428121900879245,0.66328876572097362,0.14799032613470461,0.58243931957752226,0.78480242003004586,0.20236310045252359,0.39514226311654732,0.95945456457108802,0.74652351566056196,0.76002150459267326,0.13115609352686328,0.64168565922748255,0.8485546539124702,0.20686899468498765,0.4850755738629276,0.95957794287560316,24,-0.12895738591524103,-0.097011565683751133,0.12042413447206649,-0.41813674351371477,0.054968653137726808,22,0,2,24,84.289870589281023,87.399824115285298,15.710129410718976,12.600175884714698,-0.15744015558284744,-0.13972928588492567,0.11579394005824402,-0.35467939960696659,0.023515550904884219,23,0,1,24,82.53926980306646,83.972184676750032,17.460730196933532,16.027815323249971
RandomForest,10,24,30,0.6252622231702929,0.018434681989476311,0.0033656970553567964,0.61837859978623844,0.63214584655434736,0.67071915691501904,0.022800796122708581,0.004162836788494606,0.66220519971982938,0.6792331141102087,24,0.62526222317029312,0.59772432134925946,0.14164392364639034,0.5532456378996955,0.72191379600298955,0.16866815810329405,0.32404570463634308,0.94106293213408676,0.67071915691501893,0.69907584484449448,0.15529322178641844,0.55371589962527856,0.77305929828555964,0.21934339866028107,0.34439709595959589,0.93894672750109998,24,-0.17797638175374028,-0.15321852241966688,0.15508774988065691,-0.62104518408315856,0.055971585269427138,23,0,1,24,78.965251920958863,79.331176570438657,21.034748079041126,20.668823429561343,-0.23324451432839041,-0.22686603033169034,0.1584062800826298,-0.63991477272727293,-0.030751116551703372,24,0,0,24,74.393270637477769,75.642145035687278,25.606729362522227,24.357854964312722
RandomForest,15,24,30,0.5911901936404127,0.020948480240377598,0.0038246517243686849,0.58336790256289994,0.59901248471792545,0.63420645653618146,0.022030151276961184,0.004022136933214294,0.62598026285565489,0.64243265021670803,24,0.5911901936404127,0.57460729253357179,0.13938945298920763,0.51027532515369245,0.66628170783596219,0.15600638268226974,0.2196741310364663,0.91028844726327163,0.63420645653618135,0.63634052476452418,0.14994527654600601,0.55385363462909809,0.73967358835349484,0.18581995372439675,0.26365214646464641,0.90615810154867882,24,-0.21204841128362065,-0.18520280127667693,0.17320205828091453,-0.72541675768303537,0.055266458743364999,23,0,1,24,75.151948794496491,76.871104693915726,24.848051205503506,23.128895306084281,-0.26975721470722797,-0.25234266829636082,0.16248238175355648,-0.72065972222222241,-0.047395225822660092,24,0,0,24,70.509532564771405,70.248698051984135,29.490467435228595,29.751301948015872
RandomForest,20,24,30,0.56749858171436429,0.02607253626332165,0.004760172080930907,0.55776293667279186,0.57723422675593672,0.60361933945736035,0.027803850001835315,0.0050762652771650851,0.59323721124117335,0.61400146767354735,24,0.56749858171436418,0.56565134198554379,0.12813561626494099,0.50018165871500864,0.62933285166673247,0.12915119295172384,0.2334734541605864,0.86191469068088078,0.60361933945736024,0.59731271021570342,0.13961147260582843,0.53115243502720799,0.68751531945158317,0.15636288442437518,0.24827967171717161,0.870023773066809,24,-0.23574002320966914,-0.20324774147132779,0.17214045416683318,-0.71161743455891524,0.026707246782559646,23,0,1,24,72.354074692275887,72.866902774587686,27.645925307724116,27.133097225412321,-0.30034433178604908,-0.30240920250131337,0.15444179950771059,-0.73603219696969724,-0.080307730070071415,24,0,0,24,67.134462962658475,66.074293115276419,32.865537037341532,33.925706884723574
RandomForest,25,24,30,0.54388757387421083,0.0279910556994004,0.0051104442049817143,0.53343554190171694,0.55433960584670472,0.57837815697160155,0.028181242251102998,0.0051451673598155931,0.5678551081735731,0.58890120576963001,24,0.54388757387421072,0.53208182631426881,0.11188881861490299,0.48315851020599365,0.59080959687487078,0.10765108666887713,0.26164883585647458,0.80071967402423605,0.57837815697160166,0.5676577110956289,0.12858456365066476,0.51673738332314278,0.62828705779680538,0.1115496744736626,0.26084280303030288,0.80722272724005772,24,-0.2593510310498226,-0.21625485937280081,0.17039201692130196,-0.68344205286302706,0.019528670520027158,23,0,1,24,69.57887741864063,72.040749118092762,30.421122581359366,27.959250881907238,-0.32558551427180776,-0.33474271300761366,0.14854901120342417,-0.72346906565656588,-0.13165097552308058,24,0,0,24,64.392336748428548,63.850088398680796,35.607663251571445,36.149911601319204
RandomForest,30,24,30,0.52142458625763954,0.025564484829162015,0.0046674150039768799,0.51187865073937111,0.53097052177590798,0.54933699387589152,0.027481005102678865,0.0050173221325505958,0.53907541792627056,0.55959856982551248,24,0.52142458625763954,0.5098539377139808,0.098710356299422999,0.46535038575217152,0.56292450997316534,0.097574124220993819,0.3097428898519311,0.72918171122836573,0.54933699387589152,0.54972397045008492,0.11601588784612134,0.45625061801640898,0.5957334444646446,0.13948282644823562,0.3256944444444444,0.74480725141759074,24,-0.28181401866639377,-0.25445446476987671,0.17096718397333074,-0.63534799886757054,-0.015307923368479304,24,0,0,24,66.948695105489989,70.022744666384767,33.051304894510011,29.977255333615226,-0.35462667736751791,-0.34412670329842326,0.13866560001691808,-0.65861742424242442,-0.13984728456850337,24,0,0,24,61.179061664979848,61.779454248071929,38.820938335020159,38.220545751928071
RandomForest,40,24,30,0.47938883335048599,0.031787337513878675,0.0058035472664605117,0.46751924645160275,0.49125842024936922,0.49197708479583502,0.035385585341512621,0.0064604944340235365,0.47876389007653675,0.50519027951513329,24,0.47938883335048593,0.49458976495448104,0.081625751677713784,0.42083438028402231,0.5391989507821251,0.11836457049810278,0.26510365242314482,0.60863913613792431,0.49197708479583496,0.50243435683542936,0.087547449111931686,0.43994565944735176,0.54806546915137155,0.1081198097040198,0.28145517676767667,0.63814717205654614,24,-0.32384977157354738,-0.35881083627964971,0.17775956096681597,-0.67998723629635682,-0.039963814808837705,24,0,0,24,61.96323402270076,59.329444000619667,38.036765977299247,40.670555999380333,-0.41198658644757441,-0.3960887962890991,0.12268233102443926,-0.70285669191919209,-0.24650736392954797,24,0,0,24,54.889164563274896,57.043897958799775,45.110835436725104,42.956102041200225
RandomForest,50,24,30,0.4430234744876021,0.02843416656908767,0.0051913448112495307,0.43240598219710275,0.45364096677810145,0.43285212212278024,0.032522712593739844,0.005937807772949554,0.42070794165625786,0.44499630258930262,24,0.44302347448760199,0.44679293121791491,0.076527564965177292,0.40737292432543082,0.49134503519356149,0.083972110868130667,0.24690045658643719,0.57811649485823291,0.43285212212278018,0.44059463669995536,0.074810819075441209,0.3903870808025231,0.4828135964113453,0.092426515608822202,0.25866477272727262,0.55852040816326531,24,-0.36021513043643133,-0.36382915525297244,0.19129998468214857,-0.71406702436276159,-0.051238537323058275,24,0,0,24,57.744619763367837,54.903935018298583,42.255380236632156,45.09606498170141,-0.47111154912062908,-0.46122677143187979,0.12214072612328784,-0.7256470959595962,-0.28439313867964333,24,0,0,24,48.428598735943048,49.854509560861587,51.571401264056952,50.145490439138406
XGBoost,0,24,30,0.78421672249133312,0,0,0.78421672249133312,0.78421672249133312,0.91715143310403002,3.3876077124502211e-16,6.1848972002915346e-17,0.91715143310402991,0.91715143310403013,24,0.78421672249133312,0.81647477377218969,0.13127551653264899,0.65315522705229223,0.87500664445938825,0.22185141740709602,0.5551244604743284,0.97130329819628436,0.91715143310402958,0.93216370479792032,0.06520792589770498,0.90292451190806078,0.97014234639528918,0.067217834487228401,0.78578651240377206,0.99357275117046595,24,0,0,0,0,0,0,24,0,24,100,100,0,0,0,0,0,0,0,0,24,0,24,100,100,0,0
