MetricRole,Metric,NoisePercent,TechniqueA,TechniqueB,AverageRankA,AverageRankB,RankDifferenceAbs,CrossProjectMeanA,CrossProjectMeanB,MeanDifferenceAminusB,BetterByAverageRank,NemenyiSE,QDemšar,QStudentizedRange,NemenyiPValue,NemenyiAlpha,CriticalDifference,SignificantNemenyi
PRIMARY,APFDc,0,RandomForest,XGBoost,1.7083333333333333,2.2083333333333335,0.50000000000000022,0.80323860492403332,0.78421672249133312,0.019021882432700199,RandomForest,0.37267799624996495,1.3416407864998745,1.8973665961010286,0.5362869683523479,0.050000000000000003,0.95742161329511866,False
PRIMARY,APFDc,0,RandomForest,LightGBM,1.7083333333333333,2.5416666666666665,0.83333333333333326,0.80323860492403332,0.76205984422883655,0.04117876069519677,RandomForest,0.37267799624996495,2.2360679774997894,3.1622776601683791,0.11358109885511569,0.050000000000000003,0.95742161329511866,False
PRIMARY,APFDc,0,RandomForest,NaiveBayes,1.7083333333333333,3.5416666666666665,1.8333333333333333,0.80323860492403332,0.61760336857343245,0.18563523635060086,RandomForest,0.37267799624996495,4.919349550499537,6.9570108523704342,5.1756678188796812e-06,0.050000000000000003,0.95742161329511866,True
PRIMARY,APFDc,0,XGBoost,LightGBM,2.2083333333333335,2.5416666666666665,0.33333333333333304,0.78421672249133312,0.76205984422883655,0.022156878262496571,XGBoost,0.37267799624996495,0.89442719099991508,1.2649110640673507,0.80775747651301288,0.050000000000000003,0.95742161329511866,False
PRIMARY,APFDc,0,XGBoost,NaiveBayes,2.2083333333333335,3.5416666666666665,1.333333333333333,0.78421672249133312,0.61760336857343245,0.16661335391790066,XGBoost,0.37267799624996495,3.5777087639996625,5.0596442562694062,0.0019661230114887962,0.050000000000000003,0.95742161329511866,True
PRIMARY,APFDc,0,LightGBM,NaiveBayes,2.5416666666666665,3.5416666666666665,1,0.76205984422883655,0.61760336857343245,0.14445647565540409,LightGBM,0.37267799624996495,2.6832815729997477,3.7947331922020555,0.036648442860974573,0.050000000000000003,0.95742161329511866,True
PRIMARY,APFDc,5,RandomForest,XGBoost,2.2083333333333335,2.1666666666666665,0.041666666666666963,0.67428121900879245,0.68453858075862728,-0.010257361749834826,XGBoost,0.37267799624996495,0.11180339887499027,0.15811388300842008,0.99950038499201754,0.050000000000000003,0.95742161329511866,False
PRIMARY,APFDc,5,RandomForest,LightGBM,2.2083333333333335,2.2083333333333335,0,0.67428121900879245,0.68016006843081689,-0.0058788494220244347,TIE,0.37267799624996495,0,0,1,0.050000000000000003,0.95742161329511866,False
PRIMARY,APFDc,5,RandomForest,NaiveBayes,2.2083333333333335,3.4166666666666665,1.208333333333333,0.67428121900879245,0.57338104933765421,0.10090016967113824,RandomForest,0.37267799624996495,3.2422985673746942,4.5853026072441496,0.0065116825735872519,0.050000000000000003,0.95742161329511866,True
PRIMARY,APFDc,5,XGBoost,LightGBM,2.1666666666666665,2.2083333333333335,0.041666666666666963,0.68453858075862728,0.68016006843081689,0.004378512327810391,XGBoost,0.37267799624996495,0.11180339887499027,0.15811388300842008,0.99950038499201754,0.050000000000000003,0.95742161329511866,False
